Citation,WaterbodiesSampled,NumberSamples,WaterbodiesSamples_MCDetection,PercentDetection,DetectMethod,DetectColors,SurveyStyle,Notes
"Balode, M., I. Purina, S. Strake, S. Purvina, M. Pfeifere, I. Barda, and K. Povidisa. 2006. Toxic cyanobacteria in the lakes located in R?ga (the capital of Latvia) and its surroundings: present state of knowledge. African Journal of Marine Science 28: 225–230. doi:10.2989/18142320609504152",14,,7,50,waterbodies,skyblue4,repeat,"Sampled over many years, usually monthly"
"Barros, M. U. G., A. E. Wilson, J. I. R. Leitão, S. P. Pereira, R. P. Buley, E. G. Fernandez-Figueroa, and J. Capelo-Neto. 2019. Environmental factors associated with toxic cyanobacterial blooms across 20 drinking water reservoirs in a semi-arid region of Brazil. Harmful Algae 86: 128–137. doi:10.1016/j.hal.2019.05.006",20,,13,65,waterbodies,skyblue4,repeat,samples taken over multiple years
"Beversdorf, L., C. Weirich, S. Bartlett, and Todd. Miller. 2017. Variable Cyanobacterial Toxin and Metabolite Profiles across Six Eutrophic Lakes of Differing Physiochemical Characteristics. Toxins 9: 62. doi:10.3390/toxins9020062",6,,6,100,waterbodies,skyblue4,repeat,
"Bigham, D. L., M. V. Hoyer, and D. E. Canfield. 2009. Survey of toxic algal (microcystin) distribution in Florida lakes. Lake and Reservoir Management 25: 264–275. doi:10.1080/07438140903136555",187,,69,36.9,waterbodies,skyblue4,repeat,Based on information provided in Table 2
"Bittencourt-Oliveira, M. do C., V. Piccin-Santos, and S. Gouvêa-Barros. 2012. Microcystin-producing genotypes from cyanobacteria in Brazilian reservoirs. Environ. Toxicol. 27: 461–471. doi:10.1002/tox.20659",7,,5,71.4,waterbodies,skyblue4,repeat,"7 reservoirs sampled 27 times, 5 reservoirs had quantifiable MC using HPLC"
"Bláhová, L., P. Babica, E. Maršálková, B. Maršálek, and L. Bláha. 2007. Concentrations and Seasonal Trends of Extracellular Microcystins in Freshwaters of the Czech Republic – Results of the National Monitoring Program. Clean Soil Air Water 35: 348–354. doi:10.1002/clen.200700010",91,206,145,70.4,samples,aquamarine3,snapshot,
"Bláhová, L., P. Babica, O. Adamovský, J. Kohoutek, B. Maršálek, and L. Bláha. 2008. Analyses of cyanobacterial toxins (microcystins, cylindrospermopsin) in the reservoirs of the Czech Republic and evaluation of health risks. Environ Chem Lett 6: 223–227. doi:10.1007/s10311-007-0126-x",70,,53,75,waterbodies,skyblue4,snapshot,
"Boutte, C., J. Mankiewicz-Boczek, J. Komarkova, and others. 2008. Diversity of planktonic cyanobacteria and microcystin occurrence in Polish water bodies investigated using a polyphasic approach. Aquat. Microb. Ecol. 51: 223–236. doi:10.3354/ame01194",11,,11,100,waterbodies,skyblue4,repeat,
"Boyer, G. L. 2007. The occurrence of cyanobacterial toxins in New York lakes: Lessons from the MERHAB-Lower Great Lakes program. Lake and Reservoir Management 23: 153–160. doi:10.1080/07438140709353918",81,2286,1155,50.5,samples,aquamarine3,repeat,
"Bukowska, A., T. Kali?ski, M. Koper, I. Kostrzewska-Szlakowska, J. Kwiatowski, H. Mazur-Marzec, and I. Jasser. 2017. Predicting blooms of toxic cyanobacteria in eutrophic lakes with diverse cyanobacterial communities. Sci Rep 7: 8342. doi:10.1038/s41598-017-08701-8",7,,7,100,waterbodies,skyblue4,repeat,
